18
#Move the first part
.2,.7,.7,.8,1.35,.7,-.8
.2,.7,.25,.8,1.35,.25,-.8
.4,.95,.25,.9,1.05,.25,-.9
.2,.95,.9,.9,1.05,.9,-.9
.7,-.05,.9,.9,.05,.9,-.9
.2,-.05,.7,.9,.05,.7,-.9
.1,-.25,.7,.9,.25,.7,-.9
.1,-.4,.9,.5,.4,.9,-.5
.1,-.4,1.5,.5,.4,1.5,-.5
#Move the second part
.2,1.7,.7,.8,2.35,.7,-.8
.2,1.7,.25,.8,2.35,.25,-.8
.4,1.95,.25,.9,2.05,.25,-.9
.2,1.95,1.4,.9,2.05,1.4,-.9
.7,-.05,1.4,.9,.05,1.4,-.9
.2,-.05,1.2,.9,.05,1.2,-.9
.1,-.25,1.2,.9,.25,1.2,-.9
.1,-.4,1.4,.5,.4,1.4,-.5
.1,-.4,2,.5,.4,2,-.5






